sample_name,review_priority,candidate_id,title,codex_label,codex_evidence_group,codex_confidence,codex_reason_code,claude_label,claude_evidence_group,claude_confidence,claude_reason_code,review_reasons,expert_final_label,expert_evidence_group,expert_comment
pacific,P0,c_0042,北京经纬信息技术有限公司2024年太原局客服系统相关设备维保服务项目更正公告,relevant,evidence_1fb54b5793,medium,INDUSTRY_CORE_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0049,关于中国太平洋保险（集团）产险电销智能语音助手 POC 方案征集公告,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,target_cpic_voice_assistant_poc,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0051,中国太平洋保险集团外呼智能分配服务招标公告,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,relevant,target_cpic_outbound_dispatch,medium,TARGET_CORE_BIDDING,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0055,上海中国太平洋保险(集团)股份有限公司产险P17智能化改造项目(预测式排班)比选成交结果公告,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,relevant,target_cpic_p17_predictive_scheduling,medium,TARGET_CORE_BIDDING,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0061,2025年产险电网销智能化培训管理项目配套采购项目项目公告,relevant,evidence_4c3a630156,medium,TARGET_ADJACENT_BIDDING,irrelevant,,medium,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0083,聊城市某项目采购智能客服系统采购项目竞争性谈判公告,acceptable_alternative,evidence_a2673e0b46,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,medium,INSUFFICIENT_CONTEXT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0093,关于中国太平洋保险(集团)官网智能推荐平台业务采购方案征集公告,acceptable_alternative,evidence_70d9b9c4ff,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0098,智能排班软件采购项目方案征集公告,acceptable_alternative,evidence_063306f0e7,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0100,关于中国太平洋保险（集团）2018版官网智能推荐系统模型工程化高级服务采购方案征集公告,acceptable_alternative,evidence_7974bc796e,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0105,北京经纬信息技术有限公司2024年太原局客服系统相关设备维保服务项目更正公告,acceptable_alternative,evidence_1fb54b5793,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0114,中国太平洋保险集团外呼智能分配服务招标公告,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,acceptable_alternative,target_cpic_outbound_dispatch,medium,DUPLICATE_EVENT_ALTERNATIVE,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0118,智能语音识别系统项目系统测试和安全测评服务采购项目,relevant,evidence_3ecb7e211f,medium,INDUSTRY_CORE_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0120,中国太平洋保险集团24年在线AI智能客服辅助功能“个客小保”方案征集招标公告-采招网,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,target_cpic_ai_cs_assistant,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0121,上海中国太平洋保险(集团)股份有限公司产险P17智能化改造项目(预测式排班)比选成交结果公告,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,acceptable_alternative,target_cpic_p17_predictive_scheduling,medium,DUPLICATE_EVENT_ALTERNATIVE,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0132,关于中国太平洋保险（集团）产险电销录音系统信创改造采购项目方案征集公告,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,must_keep,,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED,,,
pacific,P1,c_0022,科技研究院问答对话平台建设项目采购,relevant,evidence_465e2e7eaa,medium,INDUSTRY_ADJACENT_BIDDING,relevant,industry_insurance_dialogue_case,medium,INDUSTRY_CORE_BIDDING,GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P1,c_0027,"太保科技创新对话文本生成技术,提升客户行为模拟准确性",uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P1,c_0081,竞争性报价 - 泰康保险集团采购供应链管理平台,relevant,evidence_7901a883d5,medium,INDUSTRY_ADJACENT_BIDDING,acceptable_alternative,industry_insurance_dialogue_case,medium,DUPLICATE_EVENT_ALTERNATIVE,LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P1,c_0086,"太保科技创新对话文本生成技术,提升客户行为模拟准确性",uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P1,c_0113,关于中国太平洋保险（集团）产险电销智能,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,acceptable_alternative,target_cpic_voice_assistant_poc,medium,DUPLICATE_EVENT_ALTERNATIVE,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P1,c_0129,"清华产研院《产业智能化白皮书》发布,智能客服降本增效明显! - 知乎",uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,high,LOW_QUALITY_GENERIC_PAGE,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P1,c_0135,太平洋保险呼叫中心-客服系统解决方案-天润融通,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
