sample_name,review_priority,candidate_id,title,url,codex_label,codex_evidence_group,codex_confidence,codex_reason_code,claude_label,claude_evidence_group,claude_confidence,claude_reason_code,review_reasons,expert_final_label,expert_evidence_group,expert_comment
postal,P0,c_0043,中国邮政储蓄银行信用卡智能客服系统2025年新增功能工程邮储大脑智能语言语音系统配套软件技术开发与集成采购项目单一来源采购前公示 - 中国邮政集团有限公司,https://www.chinapost.com.cn/xhtml1/report/2509/460-1.htm,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,postal_hq_creditcard_intelligent_cs_tender,high,PARENT_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
postal,P1,c_0028,邮储银行新一代智能客服“小邮”上线,http://np.fjsen.com/2018-01/04/content_20666561.htm,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0024,聊城市聊城市某项目采购智能客服系统采购项目竞争性谈判公告-山东招标网,https://sd.bidcenter.com.cn/diqucontent-394905575-1.html,relevant,evidence_a2673e0b46,medium,INDUSTRY_CORE_BIDDING,irrelevant,,medium,INSUFFICIENT_CONTEXT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0032,关于中国太平洋保险(集团)官网智能推荐平台业务采购方案征集公告,http://www.cfcpn.com/plist/caigou,relevant,evidence_70d9b9c4ff,medium,TARGET_ADJACENT_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0037,中国太平洋保险(集团)股份有限公司智能排班软件采购项目方案征集公告,https://purchase.cpic.com.cn/cms/channel/ywgg1/2000019.htm,relevant,evidence_063306f0e7,medium,TARGET_ADJACENT_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0040,关于中国太平洋保险（集团）2018版官网智能推荐系统模型工程化高级服务采购方案征集公告,https://life.cpic.com.cn/c/2020-01-20/1590731.shtml,relevant,evidence_7974bc796e,medium,TARGET_ADJACENT_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0042,北京经纬信息技术有限公司2024年太原局客服系统相关设备维保服务项目更正公告,https://www.bidcenter.com.cn/news-307395313-6.html,relevant,evidence_1fb54b5793,medium,INDUSTRY_CORE_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0049,关于中国太平洋保险（集团）产险电销智能语音助手 POC 方案征集公告,https://www.cpic.com.cn/c/2018-05-09/1490873.shtml,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,target_cpic_voice_assistant_poc,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0051,中国太平洋保险集团外呼智能分配服务招标公告,https://www.bidcenter.com.cn/news-321599011-1.html,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,relevant,target_cpic_outbound_dispatch,medium,TARGET_CORE_BIDDING,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0055,上海中国太平洋保险(集团)股份有限公司产险P17智能化改造项目(预测式排班)比选成交结果公告,https://www.bidcenter.com.cn/newscontent-87318723-4.html,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,relevant,target_cpic_p17_predictive_scheduling,medium,TARGET_CORE_BIDDING,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0061,2025年产险电网销智能化培训管理项目配套采购项目项目公告,https://purchase.cpic.com.cn/cms/channel/ywgg1/1000846.htm,relevant,evidence_4c3a630156,medium,TARGET_ADJACENT_BIDDING,irrelevant,,medium,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0083,聊城市某项目采购智能客服系统采购项目竞争性谈判公告,https://sd.bidcenter.com.cn/diqucontent-394905575-1.html,acceptable_alternative,evidence_a2673e0b46,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,medium,INSUFFICIENT_CONTEXT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0093,关于中国太平洋保险(集团)官网智能推荐平台业务采购方案征集公告,http://www.cfcpn.com/plist/caigou,acceptable_alternative,evidence_70d9b9c4ff,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0098,智能排班软件采购项目方案征集公告,https://purchase.cpic.com.cn/cms/channel/ywgg1/2000019.htm,acceptable_alternative,evidence_063306f0e7,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0100,关于中国太平洋保险（集团）2018版官网智能推荐系统模型工程化高级服务采购方案征集公告,https://life.cpic.com.cn/c/2020-01-20/1590731.shtml,acceptable_alternative,evidence_7974bc796e,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0105,北京经纬信息技术有限公司2024年太原局客服系统相关设备维保服务项目更正公告,https://www.bidcenter.com.cn/news-307395313-6.html,acceptable_alternative,evidence_1fb54b5793,medium,DUPLICATE_EVENT_ALTERNATIVE,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0114,中国太平洋保险集团外呼智能分配服务招标公告,https://www.bidcenter.com.cn/news-321599011-1.html,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,acceptable_alternative,target_cpic_outbound_dispatch,medium,DUPLICATE_EVENT_ALTERNATIVE,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0118,智能语音识别系统项目系统测试和安全测评服务采购项目,https://350102.bidcenter.com.cn/bidinfo-5-a0f73512c37219a9c5b9632ae54295b9adde52a9d4d93f9f.html,relevant,evidence_3ecb7e211f,medium,INDUSTRY_CORE_BIDDING,irrelevant,,high,UNRELATED_PROCUREMENT,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0120,中国太平洋保险集团24年在线AI智能客服辅助功能“个客小保”方案征集招标公告-采招网,https://www.bidcenter.com.cn/news-307447073-1.html,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,relevant,target_cpic_ai_cs_assistant,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED|MUST_KEEP_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P0,c_0121,上海中国太平洋保险(集团)股份有限公司产险P17智能化改造项目(预测式排班)比选成交结果公告,https://www.bidcenter.com.cn/newscontent-87318723-4.html,irrelevant,,high,NO_CUSTOMER_SERVICE_SIGNAL,acceptable_alternative,target_cpic_p17_predictive_scheduling,medium,DUPLICATE_EVENT_ALTERNATIVE,POSITIVE_NEGATIVE_CONFLICT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P0,c_0132,关于中国太平洋保险（集团）产险电销录音系统信创改造采购项目方案征集公告,http://m.cpic.com.cn/c/2024-11-27/1868311.shtml,must_keep,,high,UNIQUE_TARGET_CORE_BIDDING,must_keep,,high,TARGET_CORE_BIDDING,MUST_KEEP_REVIEW_REQUIRED,,,
pacific,P1,c_0022,科技研究院问答对话平台建设项目采购,https://tip.taikang.com/jzxbj/11054.jhtml,relevant,evidence_465e2e7eaa,medium,INDUSTRY_ADJACENT_BIDDING,relevant,industry_insurance_dialogue_case,medium,INDUSTRY_CORE_BIDDING,GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P1,c_0027,"太保科技创新对话文本生成技术,提升客户行为模拟准确性",https://www.sohu.com/a/874168831_121956424,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P1,c_0081,竞争性报价 - 泰康保险集团采购供应链管理平台,https://tip.taikang.com/jzxbj/11054.jhtml,relevant,evidence_7901a883d5,medium,INDUSTRY_ADJACENT_BIDDING,acceptable_alternative,industry_insurance_dialogue_case,medium,DUPLICATE_EVENT_ALTERNATIVE,LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P1,c_0086,"太保科技创新对话文本生成技术,提升客户行为模拟准确性",https://www.sohu.com/a/874168831_121956424,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P1,c_0113,关于中国太平洋保险（集团）产险电销智能,https://www.cpic.com.cn/c/2018-05-09/1490873.shtml,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,acceptable_alternative,target_cpic_voice_assistant_poc,medium,DUPLICATE_EVENT_ALTERNATIVE,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT|GROUP_MEMBERSHIP_DISAGREEMENT,,,
pacific,P1,c_0129,"清华产研院《产业智能化白皮书》发布,智能客服降本增效明显! - 知乎",https://zhuanlan.zhihu.com/p/77632735,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,high,LOW_QUALITY_GENERIC_PAGE,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
pacific,P1,c_0135,太平洋保险呼叫中心-客服系统解决方案-天润融通,https://www.ti-net.com.cn/cases/104.html,uncertain,,low,CORE_SIGNAL_WITHOUT_BIDDING_PROOF,irrelevant,,medium,NON_BIDDING_CONTEXT,UNCERTAIN_DISAGREEMENT|LABEL_DISAGREEMENT,,,
